1;1;Pilot;Wienermobile (Automobile shaped like a hot dog on a bun);s1e1_1;260;
1;1;Pilot;Sports Illustrated (Athletic magazine);s1e1_2;520;
1;1;Pilot;Monopoly (Board game);s1e1_3;863;
1;1;Pilot;Kurt Vonnegut (Writer);s1e1_4;357;
1;1;Pilot;The Home Depot (Home improvement company);s1e1_5;507;
1;2;Spellingg Bee;Bananarama (Musician);s1e2_1;1776;
1;2;Spellingg Bee;Venus (Song by Bananarama);s1e2_2;1776;
1;2;Spellingg Bee;Dan Quayle (44th Vice President of the United States);s1e2_3;1790;
1;2;Spellingg Bee;What's your glitch?! (Quote from the movie Reality Bites);s1e2_4;1706;
1;2;Spellingg Bee;Bud Collins (American journalist);s1e2_5;1252;
1;2;Spellingg Bee;The Phantom of the Opera (Novel written by Gaston Leroux);s1e2_6;1336;
1;3;Speak Now or Forever Hold Your Piece;Air Supply (Musicians);s1e3_1;2182;
1;3;Speak Now or Forever Hold Your Piece;Ocean's Eleven (Movie);s1e3_2;2235;
1;3;Speak Now or Forever Hold Your Piece;Thomas Crown (Character in the movie The Thomas Crown Affair);s1e3_3;2235;
1;3;Speak Now or Forever Hold Your Piece;Donald Sutherland (Actor);s1e3_4;2236;
1;3;Speak Now or Forever Hold Your Piece;Hampton Inn (Hotel);s1e3_5;2284;
1;3;Speak Now or Forever Hold Your Piece;Patrick Swayze (Actor);s1e3_6;2530,2532;
1;3;Speak Now or Forever Hold Your Piece;Lou Diamond Phillips (Actor);s1e3_7;2548;
1;3;Speak Now or Forever Hold Your Piece;Ted Nugent (Musician);s1e3_8;2732;
1;3;Speak Now or Forever Hold Your Piece;The Italian Job (Movie);s1e3_9;2236,2237;https://youtu.be/vrNryKVm5Yw?t=54
1;3;Speak Now or Forever Hold Your Piece;Argonauts (Band of heroes in Greek mythology);s1e3_10;2472;
1;3;Speak Now or Forever Hold Your Piece;Peter Pan (Fictional character);s1e3_11;2304;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Meredith Baxter-Birney (Actress);s1e4_1;3185;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Mrs. Keaton (Character on the TV show Family Ties);s1e4_2;3187;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;APK (Reference to Alex P. Keaton, a character on the TV show Family Ties);s1e4_3;3187;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Jane Austen (Novelist);s1e4_4;3252;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Joan Jett (Musician);s1e4_5;3450;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Penny Marshall (Actress);s1e4_6;3451;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Grace Jones (Musician);s1e4_7;3451;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Pinky Tuscadero (Character in the TV show Happy Days);s1e4_8;3452;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Lizzie Borden (Central figure in the hatchet murders of her father and stepmother);s1e4_9;3458;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Kathy Bates (Actress);s1e4_10;3458;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Dread Pirate Wilcroft (Reference to Dread Pirate Roberts in the movie The Princess Bride);s1e4_11;3563;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Lady Susan (Novella written by Jane Austen);s1e4_12;3249,3250;
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets;Bounce (Fabric softener);s1e4_13;3204;
1;5;9 Lives;Numb3rs (TV Show);s1e5_1;3943;https://youtu.be/Bw3-nFe81SI?t=59
1;5;9 Lives;Sports Illustrated (Sports magazine);s1e5_2;4027;
1;5;9 Lives;The Cure (Musicians);s1e5_3;4123;
1;5;9 Lives;Clint Eastwood (Actor);s1e5_4;4142;
1;5;9 Lives;Escape from Alcatraz (Movie);s1e5_5;4142;
1;5;9 Lives;Robert Frost (Poet);s1e5_6;4115;
1;5;9 Lives;Buick (A division of General Motors);s1e5_7;4331;
